opponent,total_matches,wins,losses,draws
"Carlsen,M",2186,0,0,2186
"Aronian,L",106,0,0,106
"Nakamura,Hi",102,0,0,102
"So,W",83,0,0,83
"Anand,V",67,0,0,67
Ding Liren,63,0,0,63
"Vachier Lagrave,M",60,0,0,60
"Firouzja,Alireza",59,0,0,59
"Caruana,F",57,0,0,57
"Tang,Andrew",55,0,0,55
"Grischuk,A",54,0,0,54
"Nepomniachtchi,I",50,0,0,50
"Giri,A",49,0,0,49
"Karjakin,Sergey",49,0,0,49
"Mamedyarov,S",40,0,0,40
"Ivanchuk,V",38,0,0,38
"Radjabov,T",38,0,0,38
"Kramnik,V",34,0,0,34
"Topalov,V",32,0,0,32
"Svidler,P",31,0,0,31
"Artemiev,V",31,0,0,31
"Leko,P",23,0,0,23
"Duda,J",22,0,0,22
"Dubov,Daniil",22,0,0,22
"Gelfand,B",19,0,0,19
"Morozevich,A",16,0,0,16
"Mamedov,Rau",15,0,0,15
"Naiditsch,A",14,0,0,14
"Dominguez Perez,L",14,0,0,14
"Maghsoodloo,Parham",14,0,0,14
"Petrosian,TL",13,0,0,13
"Van Wely,L",13,0,0,13
"Guseinov,G",12,0,0,12
"Harikrishna,P",12,0,0,12
"Bacrot,E",11,0,0,11
Wang Yue,11,0,0,11
"Shirov,A",10,0,0,10
Yu Yangyi,9,0,0,9
"Jobava,Ba",9,0,0,9
"Andreikin,D",9,0,0,9
"Cheparinov,I",9,0,0,9
"Grandelius,N",9,0,0,9
"Praggnanandhaa,R",9,0,0,9
"Kamsky,G",8,0,0,8
"Van Foreest,Jorden",8,0,0,8
"Agdestein,S",8,0,0,8
"Ponomariov,R",8,0,0,8
"Xiong,Jeffery",8,0,0,8
"Anton Guijarro,D",8,0,0,8
"Vidit,S",7,0,0,7
"Eljanov,P",7,0,0,7
"Wojtaszek,R",7,0,0,7
"Polgar,Ju",7,0,0,7
"Meier,Geo",7,0,0,7
"Esipenko,Andrey",7,0,0,7
"Tari,A",7,0,0,7
"Vallejo Pons,F",7,0,0,7
"Adams,Mi",7,0,0,7
"Nisipeanu,LD",6,0,0,6
"Bortnyk,Olexandr",6,0,0,6
"Onischuk,Al",6,0,0,6
"Rapport,R",6,0,0,6
"Smeets,J",6,0,0,6
Wang Hao,6,0,0,6
"Sjugirov,S",6,0,0,6
"Hammer,J",6,0,0,6
"Nielsen,PH",6,0,0,6
"Pichot,A",6,0,0,6
"Le, Quang Liem",6,0,0,6
"Johannessen,LE",5,0,0,5
"Ostenstad,B",5,0,0,5
"Svane,R",5,0,0,5
"Navara,D",5,0,0,5
"Fedoseev,Vl3",5,0,0,5
"Jakovenko,D",5,0,0,5
"Fressinet,L",5,0,0,5
"Hansen,Eric",5,0,0,5
"Naroditsky,D",5,0,0,5
"Lie,K",5,0,0,5
"Carlsen,Magnus",5,0,0,5
"Niemann,Hans Moke",4,0,0,4
"Predojevic,B",4,0,0,4
"Hansen,Vi",4,0,0,4
Bu Xiangzhi,4,0,0,4
"Pelletier,Y",4,0,0,4
"Karpov,Ana",4,0,0,4
"Melkumyan,H",4,0,0,4
"Lahno,Kateri",4,0,0,4
"Malakhov,V",4,0,0,4
"McShane,L",4,0,0,4
Le Quang Liem,4,0,0,4
"Cuenca Jimenez,J",4,0,0,4
"Gashimov,V",4,0,0,4
"Stellwagen,D",4,0,0,4
"Djurhuus,R",4,0,0,4
Wei Yi,4,0,0,4
"Alekseev,Evgeny",4,0,0,4
"Short,N",3,0,0,3
"Amin,B",3,0,0,3
"Iturrizaga,E",3,0,0,3
"Riazantsev,A",3,0,0,3
"Rodriguez Vila,A",3,0,0,3
"Rozentalis,E",3,0,0,3
"Motylev,A",3,0,0,3
"Salem,AR",3,0,0,3
"Zhigalko,S",3,0,0,3
"Saric,Iv",3,0,0,3
"Kulaots,K",3,0,0,3
"Volokitin,And",3,0,0,3
"Bluebaum,M",3,0,0,3
"Tkachiev,V",3,0,0,3
"Tiviakov,S",3,0,0,3
"Berg,E",3,0,0,3
"Narayanan,SL",3,0,0,3
"Pantsulaia,L",3,0,0,3
