,Name of Chess Player,Country of Chess Player,Title of Chess Player,Rating,Description
0,Magnus Carlsen,Norway,GM,2852,"GM Magnus Carlsen is the current world chess champion. To many people, he’s the best to ever play the game, although GMs Garry Kasparov and Bobby Fischer remain in the conversation. At any rate, the clear and remarkable point is that before turning 30 years old, Carlsen has already earned..."
1,Ian Nepomniachtchi,Russia,GM,2793,"GM Ian Nepomniachtchi (“Nepo” for short) is a Russian super grandmaster who won the 2020-21 Candidates Tournament and challenged GM Magnus Carlsen for the 2021 World Championship.
Nepomniachtchi has a terrific overall record against world champions. At standard time controls, he has positive..."
2,Ding Liren,China,GM,2788,"Ding Liren is a Chinese super grandmaster who will play against GM Ian Nepomniachtchi in the 2023 World Championship.
Ding won his first Chinese Chess Championship at the age of 16, making him the youngest to ever do so. In the 2017 and 2019 Chess World Cup, he became the first player in history to..."
3,Alireza Firouzja,France,GM,2785,"Alireza Firouzja is an Iranian-born grandmaster who now plays for France. He is a world championship candidate and two-time Iranian champion.
In late 2019 and early 2020, Firouzja electrified the chess world with his second place finish in the World Rapid Championship (one point behind World Champion..."
4,Anish Giri,Netherlands,GM,2780,"GM Anish Giri is a four-time Dutch champion and a world-class player. He has been ranked as high as number three in the world and reached his peak rating of 2802 on February 15, 2015. Giri has represented the Netherlands at the Olympiads since 2010. He won the 2012 Reggio Emilia tournament and the 2017..."
5,Hikaru Nakamura,United States,GM,2768,"Hikaru Nakamura was born December 9, 1987 in Hirakata, Japan. His family moved to the United States when he was just two years old, and the Stars and Stripes are the only national banner he has known as a chess player. 
Nakamura has been one of the world’s top players for well over a decade...."
6,Fabiano Caruana,United States,GM,2766,"The prodigy who broke the record held by GM Hikaru Nakamura for America's youngest chess grandmaster, Fabiano Caruana, has climbed the mountain of chess and reached the summit. This grandmaster has had a ranking as high as number-two in the world and has won numerous tournaments in his career. In 2018..."
7,Wesley So,United States,GM,2766,"Wesley So is a Filipino-American super grandmaster who is among the world’s best chess players. He began as a chess prodigy who entered tournaments at nine years old. At 14, he became the ninth youngest GM in history. The next year, he became the youngest player to pass the 2600 rating threshold,..."
8,Viswanathan Anand,India,GM,2754,"In this Indian name, the name Viswanathan is a patronymic, and the person should be referred to by the given name, Anand.Viswanathan Anand, the 15th undisputed chess champion and surely the greatest Indian chess player of all time, was born on Dec. 11, 1969 in Mayiladuthurai in Tamil Nadu, the southeasternmost..."
9,Sergey Karjakin,Russia,GM,2747,"Sergey Karjakin is an elite chess player who broke the record of youngest-ever GM at 12 years and seven months of age in 2003. Karjakin held his record until 2021 when GM Abhimanyu Mishra broke his record. Most notably, he pushed GM Magnus Carlsen—typically considered one of the two..."
10,Teimour Radjabov,Azerbaijan,GM,2747,"Teimur Radjabov was born in Baku, Azerbaijan—the same city as former world champion Garry Kasparov—on March 12, 1987. Radjabov’s promising youth career translated into runs at the FIDE world championship in his teens and the reunified championship in the 2010’s. 
Radjabov’s..."
11,Alexander Grischuk,FIDE,GM,2745,"Alexander Grischuk is a Russian super grandmaster who is consistently among the world’s best players. While he’s an elite professional chess player, Grischuk is well-known for being one of the top blitz players. He’s a three-time World Blitz Champion, making him only one of two players..."
12,Leinier Dominguez Perez,United States,GM,2743,"Leinier Dominguez Perez is a Cuban-American grandmaster who has been a top-10 player in the world and usually sits in the top 15. Born in Havana in 1983, he earned his GM title in 2001, won his first of five Cuban Chess Championships in 2002, and reached a 2700 rating in 2008. Dominguez was also Cuban..."
13,Shakhriyar Mamedyarov,Azerbaijan,GM,2740,"Shakhriyar Mamedyarov is a super-grandmaster from Azerbaijan. He was the number-two ranked player in the world in the FIDE ratings list of February 2018. According to 2700chess.com, Mamedyarov reached his peak rating of 2826 on September 30, 2018—the sixth-highest rating of all time.
Mamedyarov..."
14,Richard Rapport,Romania,GM,2740,"Richard Rapport is a Hungarian-Romanian grandmaster and a runner-up in the FIDE Grand Prix 2022, which secured him a place at the FIDE Candidates Chess Tournament 2022. 
This former chess prodigy also possesses a uniquely creative opening approach combined with an exquisite positional style...."
15,Maxime Vachier-Lagrave,France,GM,2737,"Maxime Vachier-Lagrave (also known as “MVL”) is a French super grandmaster who, since 2016, has spent plenty of time rated among the top five chess players in the world. His rating peaked at 2819 in August 2016, making him the seventh-highest rated player in history.
Vachier-Lagrave is a..."
16,Levon Aronian,United States,GM,2736,"Levon Aronian is an Armenian-American super grandmaster who has long been among the world’s best players. He first entered the top 20 in 2005 and still hasn’t lost that distinction. Most of those 15 years or so have been spent in the top 10. In 2021, he switched federations from Armenia..."
17,Nodirbek Abdusattorov,Uzbekistan,GM,2734,"Nodirbek Abdusattorov is an Uzbek grandmaster who won the 2021 World Rapid Championship and played on the first board for team Uzbekistan that won the 44th FIDE Chess Olympiad. He did both when 17 years old, becoming the youngest player ever to do so. 
Abdussatorov's first major success was the..."
18,Vidit Santosh Gujrathi,India,GM,2730,"In this Indian name, the name Gujrathi is a patronymic, and the person should be referred to by the given name, Vidit.Vidit Gujrathi is an Indian super GM who has won the under-14 world championship, 2018 Tata Steel Challengers, and the 2019 Biel tournament. 

Early Life And Career
Career From..."
19,Yu Yangyi,China,GM,2729,"Yu Yangyi is a Chinese super-grandmaster and world-class player. He was the World U-10 Champion (2004), the World Junior Champion (2013), the Chinese Champion (2013), as well as the Asian Continental Champion (2014). 
He has won multiple international events and is a particularly strong rapid and..."
20,Jan-Krzysztof Duda,Poland,GM,2729,"GM Jan-Krzysztof Duda is one of the youngest members of the 2700 club of super grandmasters (reached in 2017), having turned 22 years old in April 2020. The latest in a history of strong GMs from Poland, he plays on Chess.com as Polish_fighter3000.
Duda won the 2021 FIDE World Cup, earning himself a..."
21,Dmitry Andreikin,FIDE,GM,2729,"Dmitry Andreikin is a Russian super GM and a two-time Russian champion. He had a highly successful early career and became a GM at age 17. Andreikin’s top success, as of 2020, came at the 2013 World Cup where he was a finalist and qualified as a candidate for the world championship.
A top-30 player..."
22,Veselin Topalov,Bulgaria,GM,2728,"GM Veselin Topalov is a Bulgarian super-grandmaster and was the FIDE world champion in 2005. He was the world number-one player from April 2006 through January 2007 and again from October 2008 until January 2010. According to 2700chess.com, he reached his peak rating of 2826 on August 24, 2015—the..."
