opponent,total_matches,wins,losses,draws
"Carlsen,M",2119,0,0,2119
"Nakamura,Hi",115,0,0,115
"Aronian,L",106,0,0,106
"So,W",75,0,0,75
"Vachier Lagrave,M",70,0,0,70
"Anand,V",67,0,0,67
Ding Liren,59,0,0,59
"Tang,Andrew",57,0,0,57
"Giri,A",56,0,0,56
"Firouzja,Alireza",55,0,0,55
"Caruana,F",53,0,0,53
"Grischuk,A",52,0,0,52
"Nepomniachtchi,I",49,0,0,49
"Karjakin,Sergey",46,0,0,46
"Radjabov,T",44,0,0,44
"Mamedyarov,S",42,0,0,42
"Artemiev,V",34,0,0,34
"Kramnik,V",34,0,0,34
"Ivanchuk,V",33,0,0,33
"Svidler,P",30,0,0,30
"Duda,J",26,0,0,26
"Topalov,V",26,0,0,26
"Dubov,Daniil",25,0,0,25
"Gelfand,B",25,0,0,25
"Leko,P",18,0,0,18
"Maghsoodloo,Parham",17,0,0,17
"Morozevich,A",16,0,0,16
"Dominguez Perez,L",15,0,0,15
"Mamedov,Rau",14,0,0,14
"Guseinov,G",13,0,0,13
"Bacrot,E",12,0,0,12
"Harikrishna,P",12,0,0,12
"Adams,Mi",12,0,0,12
"Xiong,Jeffery",12,0,0,12
"Shirov,A",11,0,0,11
"Kamsky,G",11,0,0,11
"Petrosian,TL",11,0,0,11
Wang Yue,11,0,0,11
"Van Wely,L",10,0,0,10
"Cheparinov,I",10,0,0,10
"Agdestein,S",10,0,0,10
"Polgar,Ju",10,0,0,10
"Naiditsch,A",10,0,0,10
Wang Hao,9,0,0,9
"Lie,K",9,0,0,9
"Ponomariov,R",8,0,0,8
"Vidit,S",7,0,0,7
"Dreev,A",7,0,0,7
"Van Foreest,Jorden",7,0,0,7
"Grandelius,N",7,0,0,7
"Pichot,A",7,0,0,7
Bu Xiangzhi,7,0,0,7
"Tari,A",6,0,0,6
"Naroditsky,D",6,0,0,6
"Navara,D",6,0,0,6
"Alekseev,Evgeny",6,0,0,6
"Sjugirov,S",6,0,0,6
"Movsesian,S",6,0,0,6
Wei Yi,6,0,0,6
"Hansen,Eric",6,0,0,6
"Praggnanandhaa,R",6,0,0,6
"Nielsen,PH",6,0,0,6
"Eljanov,P",6,0,0,6
"Svane,R",6,0,0,6
"Iturrizaga,E",6,0,0,6
